accX,accY,accZ,rotX,rotY,rotZ,graX,graY,graZ,activity
-0.05746084,0.19153613,9.998186,0.0020594886,-0.0008726646,0.00012217305,-0.044099998,0.1924,9.8046,Walking_Type
-0.05746084,0.19153613,9.998186,0.0020594886,-0.0008726646,0.00012217305,-0.044099998,0.1924,9.8046,Walking_Type
-0.05746084,0.19153613,9.998186,0.00083775807,-0.0008726646,0.00012217305,-0.0436,0.1908,9.8046,Walking_Type
-0.05746084,0.19153613,9.998186,0.00083775807,-0.0008726646,0.00012217305,-0.043199997,0.191,9.8046,Walking_Type
-0.047884032,0.19153613,9.950302,0.00083775807,-0.0008726646,0.00012217305,-0.043199997,0.191,9.8046,Walking_Type
-0.047884032,0.19153613,9.950302,0.00083775807,-0.0008726646,0.00012217305,-0.0436,0.19029999,9.8047,Walking_Type
-0.047884032,0.19153613,9.950302,0.00083775807,-0.0008726646,0.00012217305,-0.0436,0.19029999,9.8047,Walking_Type
-0.047884032,0.19153613,9.950302,0.00083775807,-0.0008726646,0.00012217305,-0.044,0.19049999,9.8047,Walking_Type
-0.047884032,0.19153613,9.950302,0.00083775807,-0.0008726646,0.00012217305,-0.044,0.19049999,9.8047,Walking_Type
-0.047884032,0.19153613,9.950302,0.00083775807,-0.0008726646,0.00012217305,-0.0435,0.1899,9.8047,Walking_Type
-0.047884032,0.19153613,9.950302,0.00083775807,-0.0008726646,0.00012217305,-0.0435,0.1899,9.8047,Walking_Type
-0.047884032,0.19153613,9.950302,-0.0015882496,-0.0008726646,-0.0010821042,-0.0447,0.1885,9.8047,Walking_Type
-0.047884032,0.19153613,9.950302,-0.0015882496,-0.0008726646,-0.0010821042,-0.0447,0.1885,9.8047,Walking_Type
-0.047884032,0.19153613,9.950302,-0.0015882496,-0.0008726646,-0.0010821042,-0.0442,0.1871,9.8047,Walking_Type
-0.047884032,0.19153613,9.998186,-0.0015882496,-0.0008726646,-0.0010821042,-0.0442,0.1871,9.8047,Walking_Type
-0.047884032,0.19153613,9.998186,-0.0015882496,-0.0008726646,-0.0010821042,-0.048699997,0.1845,9.8047,Walking_Type
-0.047884032,0.19153613,9.998186,-0.0015882496,-0.0008726646,-0.0010821042,-0.048699997,0.1845,9.8047,Walking_Type
-0.047884032,0.19153613,9.998186,-0.0015882496,-0.0008726646,-0.0010821042,-0.0495,0.1845,9.8047,Walking_Type
-0.047884032,0.19153613,9.998186,-0.0015882496,-0.0008726646,-0.0010821042,-0.0495,0.1845,9.8047,Walking_Type
-0.047884032,0.19153613,9.998186,-0.0015882496,-0.0008726646,-0.0010821042,-0.0503,0.1845,9.8047,Walking_Type
-0.047884032,0.19153613,9.998186,-0.0015882496,-0.0008726646,-0.0010821042,-0.0503,0.1845,9.8047,Walking_Type
-0.047884032,0.19153613,9.998186,0.003281219,-0.0008726646,0.00012217305,-0.050899997,0.1853,9.8047,Walking_Type
-0.047884032,0.19153613,9.998186,0.003281219,-0.0008726646,0.00012217305,-0.050899997,0.1853,9.8047,Walking_Type
